game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
178.320,191.356,-4.623,10.072,3.731,-0.012,1.132,1.999,0.000,1.544,1.897,1.523,1.208,1.294,1.129,2.403,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-4.710,9.816,0.451,0.255,3.599,4.246,4.182,4.383,4.485,1.998,5.882,5.284,1.571,0.000,0.000,-4.893,10.089,0.451,0.301,3.571,4.127,
178.420,191.456,-4.623,10.072,3.826,0.015,1.161,2.044,0.000,1.425,1.780,1.264,1.297,1.203,1.966,3.282,0.000,0.000,0.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,2.100,1.897,1.799,4.286,0.398,1.000,4.711,0.000,0.000,-4.686,9.808,0.451,0.296,3.574,4.157,4.182,4.383,4.485,1.999,5.882,5.284,1.571,0.000,0.000,-4.893,10.063,0.451,0.340,3.542,4.036,
178.520,191.556,-4.647,10.051,3.906,0.685,0.422,2.166,0.000,1.360,1.730,1.043,1.425,1.156,3.066,3.127,0.000,0.000,0.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,6.283,2.106,1.899,1.796,4.285,0.400,0.996,4.709,0.000,0.000,-4.685,9.785,0.450,0.329,3.546,4.074,4.182,4.386,4.481,1.998,5.884,5.283,1.570,0.000,0.000,-4.915,10.021,0.451,0.371,3.512,3.952,
178.608,191.644,-4.718,9.982,3.934,1.228,0.690,2.125,0.000,1.368,1.786,1.122,1.567,1.185,2.943,0.000,0.000,0.000,0.825,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,6.283,2.102,1.898,1.799,4.286,0.399,0.999,4.710,0.000,0.000,-4.752,9.714,0.451,0.339,3.541,4.051,4.182,4.385,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-4.986,9.945,0.451,0.379,3.503,3.927,
178.720,191.756,-4.784,9.914,4.009,1.081,1.387,2.344,0.000,1.337,1.800,1.210,1.803,1.187,4.706,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.003,0.000,2.098,1.898,1.801,4.286,0.398,1.001,4.712,0.000,0.000,-4.799,9.644,0.451,0.367,3.518,3.980,4.182,4.384,4.486,1.999,5.882,5.284,1.571,0.000,0.000,-5.049,9.857,0.452,0.405,3.476,3.853,
178.820,191.856,-4.846,9.835,4.145,0.708,1.043,2.035,0.000,1.278,1.792,1.338,2.286,1.307,3.981,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,2.099,1.898,1.799,4.286,0.399,1.000,4.711,0.000,0.000,-4.824,9.565,0.451,0.414,3.464,3.840,4.183,4.384,4.485,1.999,5.882,5.284,1.571,0.000,0.000,-5.101,9.742,0.452,0.447,3.416,3.710,
178.901,191.937,-4.884,9.772,4.222,0.835,0.879,1.822,0.000,1.250,1.804,1.430,2.412,2.149,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.102,1.898,1.799,4.286,0.399,0.999,4.711,0.000,0.000,-4.840,9.506,0.451,0.437,3.429,3.758,4.183,4.385,4.484,1.998,5.883,5.283,1.571,0.000,0.000,-5.131,9.660,0.451,0.466,3.379,3.625,
179.020,192.056,-4.917,9.708,4.286,0.968,1.029,1.729,0.000,1.228,1.824,1.522,1.724,2.239,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,2.101,1.898,1.799,4.286,0.399,0.999,4.711,0.000,0.000,-4.856,9.445,0.451,0.454,3.400,3.690,4.182,4.385,4.485,1.999,5.883,5.283,1.571,0.000,0.000,-5.156,9.581,0.451,0.480,3.347,3.555,
179.120,192.156,-4.959,9.610,4.339,0.796,0.026,3.691,0.000,1.204,1.860,1.625,1.746,4.078,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,2.099,1.897,1.799,4.285,0.398,1.000,4.712,0.000,0.000,-4.884,9.349,0.451,0.468,3.375,3.634,4.183,4.383,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-5.191,9.469,0.452,0.491,3.320,3.498,
179.220,192.256,-4.982,9.552,4.339,0.409,6.283,3.630,0.000,1.195,1.883,1.653,1.808,3.989,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.001,2.097,1.897,1.800,4.285,0.397,1.001,4.712,0.000,0.000,-4.908,9.291,0.452,0.469,3.377,3.636,4.184,4.383,4.485,1.998,5.881,5.284,1.571,0.000,0.000,-5.214,9.411,0.452,0.491,3.321,3.499,
179.320,192.356,-4.990,9.530,4.339,0.125,6.283,0.000,0.000,1.191,1.891,1.663,1.831,3.954,0.000,0.000,0.000,0.000,0.755,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.001,2.099,1.897,1.799,4.285,0.398,1.000,4.712,0.000,0.000,-4.916,9.270,0.451,0.468,3.376,3.634,4.183,4.383,4.485,1.998,5.882,5.283,1.571,0.000,0.000,-5.222,9.390,0.451,0.490,3.320,3.498,
179.420,192.456,-4.992,9.526,4.339,0.000,6.283,0.000,0.000,1.191,1.893,1.665,1.835,3.946,0.000,0.000,0.000,0.000,0.755,2.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-4.917,9.266,0.451,0.468,3.375,3.633,4.183,4.384,4.484,1.998,5.882,5.283,1.571,0.000,0.000,-5.223,9.386,0.451,0.490,3.319,3.497,
179.520,192.556,-4.992,9.526,4.339,0.001,0.006,0.000,0.000,1.191,1.893,1.665,1.835,3.947,0.000,0.000,0.000,0.000,0.755,2.728,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-4.917,9.266,0.451,0.468,3.375,3.633,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-5.223,9.386,0.451,0.490,3.319,3.497,
179.604,192.640,-4.992,9.526,4.339,0.001,0.006,0.000,0.000,1.191,1.893,1.665,1.835,3.947,0.000,0.000,0.000,0.000,0.755,2.739,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-4.917,9.266,0.451,0.468,3.375,3.633,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-5.223,9.386,0.451,0.490,3.319,3.497,
179.720,192.756,-4.992,9.526,4.339,0.001,0.006,3.602,0.000,1.191,1.893,1.665,1.835,3.947,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-4.917,9.266,0.451,0.468,3.375,3.633,4.183,4.384,4.484,1.998,5.882,5.284,1.571,0.000,0.000,-5.223,9.386,0.451,0.490,3.319,3.497,
179.804,192.840,-4.992,9.526,4.319,-0.002,5.475,1.671,0.000,1.194,1.894,1.644,1.868,4.260,0.000,0.000,0.000,0.000,0.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,0.001,2.101,1.897,1.797,4.285,0.398,0.999,4.711,0.000,0.000,-4.921,9.265,0.451,0.463,3.383,3.652,4.183,4.384,4.483,1.998,5.882,5.283,1.570,0.000,0.000,-5.225,9.390,0.451,0.487,3.328,3.517,
