game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
13.520,21.528,0.997,-9.942,1.578,1.021,0.154,3.443,0.000,2.096,1.257,2.126,4.970,3.358,2.097,1.698,4.190,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.664,-9.355,0.990,4.720,4.009,5.415,5.281,4.712,4.712,2.199,6.282,5.083,1.570,0.000,0.000,1.320,-9.351,0.990,4.720,4.155,5.269,
13.607,21.615,0.995,-9.843,1.632,0.995,1.146,3.354,0.000,2.042,1.283,2.312,0.000,3.138,2.067,1.734,3.929,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,1.003,1.571,1.572,4.086,6.281,1.199,4.712,0.000,0.000,0.633,-9.275,0.990,4.770,4.625,4.799,5.282,4.713,4.714,2.199,6.282,5.083,1.571,0.000,0.000,1.288,-9.235,0.991,4.770,4.660,4.765,
13.720,21.728,0.989,-9.765,1.728,1.004,1.428,3.315,0.000,1.862,1.337,2.756,0.000,2.835,2.034,0.000,3.639,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.571,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.573,-9.234,0.990,4.869,4.684,4.740,5.282,4.713,4.713,2.198,6.282,5.083,1.571,0.000,0.000,1.222,-9.131,0.991,4.868,4.692,4.732,
13.820,21.828,0.965,-9.647,1.854,1.028,0.932,3.295,0.000,1.704,1.419,3.733,0.000,2.566,2.035,0.000,3.327,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.485,-9.173,0.990,4.997,4.696,4.727,5.282,4.712,4.711,2.198,6.283,5.083,1.570,0.000,0.000,1.115,-8.989,0.991,4.997,4.700,4.723,
13.919,21.927,0.935,-9.550,1.926,1.019,0.835,3.275,0.000,1.655,1.461,0.000,3.652,2.475,1.668,4.853,3.156,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.423,-9.112,0.990,5.067,4.698,4.725,5.281,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.038,-8.884,0.991,5.067,4.702,4.721,
14.020,22.028,0.907,-9.476,1.989,1.006,1.005,3.282,0.000,1.612,1.505,0.000,3.598,2.414,1.706,4.402,3.034,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.368,-9.070,0.990,5.129,4.700,4.723,5.282,4.712,4.713,2.198,6.282,5.083,1.570,0.000,0.000,0.968,-8.804,0.991,5.129,4.704,4.719,
14.120,22.128,0.855,-9.369,2.100,1.011,1.089,3.010,0.000,1.539,1.615,0.000,3.842,2.338,0.000,3.219,2.879,0.000,2.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.274,-9.026,0.990,5.242,4.703,4.719,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.840,-8.695,0.991,5.241,4.706,4.717,
14.208,22.216,0.802,-9.284,2.190,1.019,0.984,0.000,1.621,1.491,1.723,0.000,3.790,2.316,0.000,3.439,2.784,0.000,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.193,-8.994,0.990,5.331,4.704,4.718,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.727,-8.614,0.991,5.331,4.707,4.716,
14.320,22.328,0.755,-9.219,2.257,1.017,0.976,0.000,1.364,1.460,1.819,0.000,3.545,2.319,0.000,3.210,2.726,0.000,2.791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.282,1.199,4.712,0.000,0.000,0.127,-8.971,0.990,5.398,4.705,4.717,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.635,-8.555,0.991,5.398,4.707,4.716,
14.420,22.428,0.676,-9.129,2.360,1.012,1.019,0.000,1.117,1.416,2.024,0.000,3.274,1.948,0.000,2.929,2.670,0.000,2.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.282,1.199,4.712,0.000,0.000,0.026,-8.947,0.990,5.501,4.706,4.716,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.489,-8.481,0.991,5.501,4.708,4.715,
