game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
8.020,13.204,0.996,-9.942,1.579,1.021,0.155,3.443,0.000,2.094,1.257,2.126,4.970,3.357,2.097,1.698,4.189,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.664,-9.355,0.990,4.721,4.033,5.391,5.281,4.712,4.712,2.199,6.282,5.083,1.570,0.000,0.000,1.320,-9.350,0.990,4.720,4.177,5.247,
8.120,13.304,0.994,-9.824,1.653,0.994,1.290,3.340,0.000,1.999,1.294,2.397,0.000,3.062,2.058,0.000,3.856,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,1.003,1.571,1.572,4.086,6.281,1.199,4.712,0.000,0.000,0.620,-9.263,0.990,4.792,4.651,4.773,5.282,4.713,4.714,2.199,6.282,5.083,1.571,0.000,0.000,1.274,-9.209,0.991,4.792,4.676,4.749,
8.220,13.404,0.983,-9.725,1.777,1.013,1.314,3.307,0.000,1.788,1.368,3.065,0.000,2.714,2.027,0.000,3.514,0.000,3.142,0.000,3.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.541,-9.216,0.990,4.919,4.691,4.732,5.282,4.712,4.712,2.198,6.283,5.083,1.570,0.000,0.000,1.183,-9.081,0.991,4.918,4.696,4.727,
8.306,13.489,0.960,-9.627,1.870,1.028,0.871,3.291,0.000,1.691,1.428,3.905,4.895,2.543,1.642,4.596,3.289,0.000,3.106,0.000,3.279,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.004,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.472,-9.161,0.990,5.013,4.697,4.726,5.282,4.712,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.099,-8.968,0.991,5.012,4.700,4.723,
8.420,13.604,0.935,-9.550,1.926,1.019,0.832,3.275,0.000,1.654,1.461,0.000,3.650,2.475,1.669,4.851,3.156,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.422,-9.112,0.990,5.067,4.698,4.725,5.281,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.037,-8.884,0.991,5.067,4.702,4.721,
8.504,13.688,0.890,-9.440,2.025,1.004,1.070,3.271,0.000,1.587,1.537,0.000,3.610,2.385,1.730,4.185,2.531,0.000,2.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.282,1.199,4.712,0.000,0.000,0.337,-9.054,0.990,5.166,4.702,4.721,5.282,4.712,4.713,2.198,6.282,5.083,1.571,0.000,0.000,0.927,-8.766,0.991,5.165,4.705,4.718,
8.620,13.804,0.854,-9.369,2.100,1.010,1.077,3.010,0.000,1.538,1.615,0.000,3.842,2.339,0.000,3.219,2.879,0.000,2.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.273,-9.026,0.990,5.242,4.703,4.719,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.840,-8.695,0.991,5.241,4.706,4.717,
8.712,13.896,0.790,-9.267,2.197,1.019,0.568,0.000,1.606,1.489,1.721,0.000,3.770,2.322,0.000,3.400,2.768,0.000,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,1.004,1.569,1.568,4.085,6.282,1.199,4.712,0.000,0.000,0.178,-8.983,0.990,5.341,4.704,4.717,5.281,4.711,4.710,2.198,6.283,5.083,1.570,0.000,0.000,0.710,-8.599,0.991,5.340,4.706,4.717,
8.820,14.004,0.743,-9.203,2.208,1.014,6.255,0.000,1.671,1.495,1.664,0.000,3.794,2.364,0.000,3.295,2.703,0.000,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.568,4.085,6.281,1.199,4.712,0.000,0.000,0.128,-8.925,0.990,5.351,4.704,4.718,5.281,4.711,4.710,2.198,6.282,5.083,1.570,0.000,0.000,0.655,-8.535,0.990,5.351,4.705,4.718,
8.916,14.099,0.672,-9.107,2.208,1.007,6.269,0.000,0.000,1.515,1.537,0.000,3.913,2.438,0.000,3.178,2.608,0.000,2.826,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.057,-8.829,0.990,5.350,4.704,4.718,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.584,-8.439,0.990,5.350,4.705,4.718,
9.020,14.204,0.625,-9.043,2.208,1.010,6.269,0.000,0.000,1.527,1.452,0.000,3.992,2.070,0.000,3.100,2.544,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.010,-8.766,0.990,5.350,4.705,4.718,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.537,-8.375,0.990,5.350,4.705,4.718,
9.120,14.304,0.554,-8.947,2.208,1.014,6.268,0.000,0.000,1.294,1.428,0.000,4.110,2.145,0.000,2.983,2.448,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,-0.061,-8.670,0.990,5.350,4.704,4.718,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.466,-8.279,0.990,5.351,4.705,4.718,
