game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
7.380,12.934,0.996,-9.902,1.577,1.006,6.265,3.403,0.000,1.743,1.256,2.121,0.000,3.364,2.098,1.698,4.144,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.663,-9.315,0.990,4.721,4.076,5.348,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.319,-9.310,0.990,4.721,4.121,5.303,
7.480,13.034,0.995,-9.803,1.578,0.997,6.265,3.304,0.000,1.692,1.255,2.121,0.000,3.363,2.099,1.699,3.485,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.662,-9.217,0.990,4.721,4.135,5.289,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.318,-9.212,0.990,4.721,4.158,5.266,
7.563,13.117,0.994,-9.724,1.578,1.011,6.265,3.225,0.000,1.651,1.283,2.121,0.000,3.363,2.099,1.700,3.388,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.661,-9.138,0.990,4.721,4.166,5.258,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.317,-9.133,0.990,4.721,4.181,5.243,
7.680,13.234,0.994,-9.604,1.578,1.019,6.266,3.105,0.000,1.588,1.376,2.121,0.000,3.362,2.100,0.000,3.326,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.660,-9.018,0.990,4.722,4.177,5.247,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.316,-9.013,0.990,4.722,4.202,5.222,
7.780,13.334,0.993,-9.505,1.579,1.010,6.266,3.006,0.000,1.536,1.453,2.120,0.000,3.362,2.100,0.000,3.656,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.659,-8.918,0.990,4.722,4.193,5.230,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.315,-8.913,0.990,4.722,4.220,5.204,
7.866,13.420,0.992,-9.425,1.579,1.007,6.265,2.926,0.000,1.495,1.514,2.120,0.000,3.361,2.101,0.000,3.559,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.658,-8.839,0.990,4.722,4.215,5.209,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.314,-8.833,0.990,4.722,4.238,5.187,
7.972,13.525,0.991,-9.326,1.580,1.012,6.265,2.827,3.195,1.719,1.590,2.120,0.000,3.361,2.102,0.000,3.437,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.657,-8.740,0.990,4.723,4.237,5.187,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.313,-8.734,0.990,4.723,4.256,5.168,
8.080,13.634,0.990,-9.207,1.602,1.012,0.745,2.710,3.100,1.966,1.665,2.193,0.000,3.264,1.675,0.000,3.241,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.571,1.572,4.086,6.281,1.199,4.712,0.000,0.000,0.645,-8.628,0.990,4.741,4.532,4.892,5.281,4.712,4.714,2.199,6.281,5.083,1.571,0.000,0.000,1.300,-8.607,0.991,4.741,4.596,4.828,
8.180,13.734,0.985,-9.107,1.705,1.011,1.438,2.637,0.000,1.666,1.672,2.621,0.000,2.907,1.642,0.000,2.939,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,1.003,1.571,1.571,4.086,6.281,1.199,4.712,0.000,0.000,0.581,-8.567,0.990,4.845,4.677,4.746,5.282,4.713,4.713,2.198,6.282,5.083,1.571,0.000,0.000,1.232,-8.479,0.991,4.845,4.690,4.734,
8.280,13.834,0.968,-9.009,1.822,1.016,1.118,2.602,0.000,1.450,1.682,3.408,0.000,2.629,2.035,4.603,2.683,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.503,-8.520,0.990,4.965,4.695,4.728,5.282,4.712,4.712,2.198,6.283,5.083,1.570,0.000,0.000,1.139,-8.356,0.991,4.964,4.699,4.725,
