game_time,self_name,other_name,relative_speed,
107.600,gopher/chassis_link,floor,0.000,
107.700,gopher/left_arm_forearm_link,Service Cart (14),1.027,
107.800,gopher/left_arm_robotiq_arg2f_base_link,Male Nurse(Clone),0.050,
