game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
8.520,15.157,0.997,-9.922,1.561,1.014,5.727,3.422,0.000,1.748,1.250,2.073,4.990,3.437,2.108,1.688,4.217,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,0.001,1.004,1.568,1.566,4.084,6.281,1.199,4.712,0.000,0.000,0.672,-9.330,0.990,4.720,2.252,0.888,5.281,4.710,4.709,2.197,6.282,5.083,1.570,0.000,0.000,1.328,-9.336,0.990,4.720,2.306,0.835,
8.620,15.257,0.999,-9.824,1.471,0.996,4.929,2.892,3.549,1.672,1.280,1.846,0.000,3.320,2.178,1.644,4.397,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.001,1.005,1.568,1.566,4.085,6.281,1.199,4.712,0.000,0.000,0.728,-9.205,0.990,4.808,1.621,1.519,5.282,4.710,4.709,2.197,6.282,5.083,1.570,0.000,0.000,1.382,-9.269,0.991,4.809,1.616,1.524,
8.720,15.357,1.012,-9.726,1.351,1.008,5.040,3.293,3.549,0.000,1.490,1.642,0.000,3.317,2.300,1.599,4.800,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.001,1.004,1.569,1.568,4.085,6.281,1.199,4.712,0.000,0.000,0.818,-9.079,0.990,4.930,1.593,1.547,5.282,4.711,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.459,-9.222,0.991,4.931,1.588,1.553,
8.820,15.457,1.036,-9.629,1.259,1.020,5.385,3.269,3.316,0.000,1.729,1.548,3.982,3.712,2.411,1.566,4.484,0.000,1.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,0.001,1.004,1.569,1.568,4.085,6.281,1.199,4.712,0.000,0.000,0.902,-8.967,0.990,5.023,1.587,1.555,5.282,4.711,4.711,2.197,6.282,5.083,1.570,0.000,0.000,1.527,-9.168,0.991,5.023,1.585,1.557,
8.907,15.544,1.068,-9.534,1.183,1.018,5.376,3.254,3.140,0.000,2.003,1.504,3.312,0.000,2.516,1.537,0.000,0.000,1.527,0.000,0.000,3.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,0.001,1.004,1.569,1.567,4.085,6.281,1.199,4.712,0.000,0.000,0.985,-8.864,0.990,5.098,1.584,1.557,5.282,4.711,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.593,-9.111,0.990,5.099,1.583,1.559,
9.020,15.656,1.099,-9.460,1.115,1.009,5.266,3.268,3.017,0.000,1.703,1.476,2.919,0.000,2.629,1.516,0.000,0.000,1.632,0.000,0.000,3.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.281,0.001,1.004,1.568,1.567,4.085,6.281,1.199,4.712,0.000,0.000,1.062,-8.786,0.990,5.165,1.582,1.559,5.282,4.711,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.651,-9.074,0.991,5.166,1.581,1.560,
9.120,15.757,1.144,-9.372,1.024,1.008,5.239,3.327,2.887,0.000,1.639,1.621,2.557,0.000,2.823,1.902,0.000,0.000,1.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.001,1.004,1.568,1.567,4.085,6.281,1.199,4.712,0.000,0.000,1.169,-8.697,0.990,5.257,1.580,1.561,5.282,4.711,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.730,-9.038,0.991,5.257,1.579,1.563,
9.210,15.847,1.210,-9.271,0.917,1.017,5.296,2.896,2.330,2.883,0.000,1.830,2.294,0.000,3.124,1.892,0.000,0.000,1.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.280,0.001,1.004,1.568,1.567,4.085,6.281,1.199,4.712,0.000,0.000,1.306,-8.603,0.990,5.364,1.579,1.563,5.282,4.711,4.710,2.197,6.282,5.083,1.570,0.000,0.000,1.827,-9.002,0.991,5.364,1.578,1.564,
9.320,15.957,1.259,-9.208,0.868,1.017,5.925,3.497,2.712,3.391,0.000,1.969,2.235,0.000,3.271,1.873,0.000,0.000,1.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,1.389,-8.547,0.990,5.416,1.578,1.564,5.282,4.712,4.712,2.198,6.281,5.083,1.571,0.000,0.000,1.890,-8.970,0.991,5.416,1.577,1.566,
9.406,16.042,1.336,-9.117,0.865,1.007,6.262,3.390,2.622,3.119,0.000,2.110,2.344,0.000,3.144,1.363,0.000,0.000,2.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.003,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,1.468,-8.456,0.990,5.418,1.578,1.564,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.968,-8.881,0.990,5.418,1.578,1.565,
