game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
28.493,38.610,0.562,-9.996,1.983,1.001,6.277,3.517,1.364,0.844,1.024,4.989,4.597,2.821,2.452,0.000,3.128,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.801,1.897,1.798,4.286,0.398,1.000,4.711,0.000,0.000,0.257,-9.711,0.550,5.538,3.513,5.790,4.482,4.384,4.484,1.997,5.883,5.283,1.571,0.000,0.000,0.558,-9.579,0.550,5.567,3.575,5.639,
28.600,38.717,0.522,-9.906,1.983,0.994,6.277,3.418,1.285,0.889,0.970,0.000,4.695,2.866,2.251,0.000,3.476,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.839,1.897,1.798,4.285,0.398,0.999,4.711,0.000,0.000,0.225,-9.638,0.535,5.569,3.488,5.806,4.445,4.383,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.527,-9.507,0.535,5.598,3.548,5.657,
28.682,38.799,0.491,-9.834,1.983,1.003,6.278,3.339,1.221,0.926,0.927,3.678,4.775,2.903,2.123,4.961,3.403,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.861,1.897,1.798,4.286,0.398,0.999,4.711,0.000,0.000,0.199,-9.577,0.526,5.589,3.473,5.815,4.422,4.384,4.484,1.997,5.883,5.283,1.571,0.000,0.000,0.500,-9.445,0.526,5.617,3.533,5.667,
28.795,38.912,0.443,-9.724,1.983,1.019,6.279,3.218,1.125,0.981,0.861,3.415,4.896,2.959,2.171,4.798,3.291,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.899,1.897,1.798,4.285,0.398,0.999,4.711,0.000,0.000,0.159,-9.485,0.512,5.621,3.449,5.829,4.385,4.383,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.460,-9.354,0.513,5.648,3.508,5.683,
28.900,39.017,0.403,-9.632,1.983,1.006,6.280,3.117,1.044,1.028,0.810,3.196,4.997,3.005,2.211,4.662,3.197,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.938,1.897,1.798,4.285,0.398,0.999,4.711,0.000,0.000,0.128,-9.414,0.498,5.656,3.425,5.843,4.345,4.383,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.429,-9.282,0.499,5.683,3.483,5.699,
28.984,39.101,0.363,-9.541,1.983,1.002,6.280,3.017,0.965,1.073,0.846,2.979,0.000,3.051,2.251,4.528,3.105,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.961,1.897,1.798,4.286,0.398,0.999,4.711,0.000,0.000,0.093,-9.335,0.491,5.676,3.412,5.850,4.323,4.384,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.394,-9.204,0.491,5.702,3.469,5.707,
29.100,39.217,0.323,-9.450,1.983,1.010,6.281,2.917,0.884,1.120,0.883,2.761,0.000,3.097,2.291,4.392,3.012,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.998,1.897,1.798,4.285,0.398,0.999,4.711,0.000,0.000,0.062,-9.264,0.479,5.709,3.391,5.860,4.285,4.384,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.363,-9.132,0.479,5.735,3.448,5.720,
29.186,39.303,0.284,-9.360,1.982,0.979,6.283,2.817,0.000,1.165,0.919,2.545,0.000,3.143,2.731,3.600,2.919,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.020,1.897,1.798,4.286,0.398,1.000,4.711,0.000,0.000,0.028,-9.185,0.472,5.729,3.379,5.867,4.263,4.384,4.484,1.997,5.882,5.283,1.571,0.000,0.000,0.329,-9.053,0.473,5.754,3.435,5.727,
29.300,39.417,0.249,-9.279,1.983,0.765,6.283,2.729,0.000,0.919,0.951,2.355,0.000,3.184,0.000,3.565,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,2.056,1.897,1.799,4.286,0.397,1.000,4.712,0.000,0.000,0.001,-9.124,0.462,5.761,3.359,5.877,4.226,4.383,4.485,1.998,5.882,5.284,1.571,0.000,0.000,0.303,-8.993,0.462,5.786,3.415,5.739,
29.400,39.517,0.228,-9.233,1.983,0.549,6.283,2.677,0.000,0.868,0.969,2.245,0.000,3.207,0.000,4.068,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,2.079,1.897,1.799,4.286,0.397,1.000,4.712,0.000,0.000,-0.014,-9.090,0.456,5.781,3.348,5.881,4.203,4.383,4.485,1.997,5.882,5.284,1.571,0.000,0.000,0.288,-8.959,0.456,5.806,3.402,5.745,
29.500,39.617,0.206,-9.182,1.983,0.434,6.283,2.622,0.000,0.813,0.989,2.127,0.000,3.232,0.000,3.993,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.798,4.285,0.398,1.000,4.711,0.000,0.000,-0.031,-9.052,0.451,5.800,3.338,5.884,4.183,4.384,4.484,1.998,5.882,5.283,1.570,0.000,0.000,0.271,-8.920,0.451,5.824,3.392,5.749,
29.600,39.717,0.193,-9.151,1.983,0.436,6.283,2.588,0.000,0.779,1.002,2.052,0.000,3.248,0.000,3.947,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,2.100,1.897,1.798,4.285,0.398,1.000,4.711,0.000,0.000,-0.044,-9.021,0.451,5.800,3.338,5.884,4.183,4.384,4.484,1.998,5.882,5.283,1.570,0.000,0.000,0.257,-8.889,0.451,5.824,3.392,5.749,
29.700,39.817,0.174,-9.109,1.983,0.344,0.000,2.542,0.000,0.732,1.019,1.951,0.000,3.270,0.000,3.885,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-0.063,-8.978,0.451,5.800,3.338,5.885,4.183,4.383,4.484,1.998,5.882,5.283,1.571,0.000,0.000,0.239,-8.846,0.451,5.824,3.392,5.750,
29.785,39.902,0.163,-9.084,1.982,0.238,0.011,2.514,0.000,0.705,1.028,1.891,0.000,3.283,0.000,3.848,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.799,4.285,0.398,1.000,4.711,0.000,0.000,-0.074,-8.953,0.451,5.800,3.338,5.885,4.183,4.384,4.484,1.998,5.882,5.283,1.570,0.000,0.000,0.228,-8.822,0.451,5.824,3.392,5.750,
29.900,40.017,0.155,-9.066,1.982,0.204,0.001,2.494,0.000,0.685,1.036,1.847,0.000,3.292,0.000,3.821,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,2.100,1.897,1.798,4.285,0.398,1.000,4.711,0.000,0.000,-0.082,-8.935,0.451,5.800,3.338,5.885,4.183,4.384,4.484,1.998,5.882,5.283,1.570,0.000,0.000,0.220,-8.804,0.451,5.824,3.392,5.749,
29.988,40.106,0.149,-9.051,1.982,0.111,6.282,2.477,0.000,0.668,1.042,1.812,0.000,3.299,0.000,3.798,0.000,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.000,0.000,2.099,1.897,1.799,4.285,0.398,1.000,4.712,0.000,0.000,-0.088,-8.919,0.451,5.799,3.338,5.886,4.183,4.383,4.485,1.998,5.882,5.284,1.571,0.000,0.000,0.213,-8.788,0.451,5.823,3.392,5.750,
