game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
8.020,13.996,0.996,-9.942,1.577,1.020,6.265,3.443,0.000,2.101,1.256,2.120,4.970,3.365,2.098,1.698,4.194,0.000,3.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.664,-9.354,0.990,4.720,4.045,5.379,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.320,-9.350,0.990,4.720,4.092,5.332,
8.120,14.096,0.995,-9.823,1.577,0.996,6.265,3.324,0.000,1.702,1.256,2.120,0.000,3.364,2.099,1.699,3.510,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.663,-9.236,0.990,4.721,4.106,5.317,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,1.319,-9.232,0.990,4.721,4.135,5.289,
8.217,14.193,0.995,-9.725,1.578,1.011,0.031,3.226,0.000,1.651,1.283,2.122,0.000,3.361,2.099,1.700,3.388,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.003,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.662,-9.138,0.990,4.721,4.122,5.301,5.281,4.711,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.318,-9.133,0.990,4.721,4.204,5.220,
8.320,14.296,0.994,-9.645,1.601,1.019,0.747,3.148,0.000,1.619,1.331,2.194,0.000,3.265,2.086,0.000,3.771,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.571,1.572,4.086,6.281,1.199,4.712,0.000,0.000,0.650,-9.065,0.990,4.739,4.521,4.904,5.281,4.712,4.714,2.199,6.281,5.083,1.571,0.000,0.000,1.306,-9.046,0.991,4.739,4.588,4.836,
8.401,14.377,0.987,-9.525,1.729,1.012,1.429,3.072,0.000,1.619,1.353,2.757,0.000,2.835,2.036,0.000,3.370,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.002,0.000,1.003,1.571,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.570,-8.994,0.990,4.869,4.683,4.740,5.282,4.713,4.713,2.198,6.282,5.083,1.571,0.000,0.000,1.219,-8.891,0.991,4.869,4.692,4.732,
8.520,14.496,0.973,-9.446,1.820,1.013,1.118,3.055,0.000,1.632,1.395,3.402,0.000,2.627,1.632,0.000,3.154,0.000,3.142,0.000,3.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.508,-8.957,0.990,4.963,4.695,4.729,5.282,4.712,4.712,2.198,6.283,5.083,1.570,0.000,0.000,1.145,-8.794,0.991,4.962,4.699,4.725,
8.607,14.583,0.939,-9.331,1.913,1.019,0.814,3.025,4.872,1.886,1.451,0.000,3.766,2.490,1.663,4.574,2.939,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.004,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,0.432,-8.886,0.990,5.055,4.698,4.725,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.050,-8.666,0.991,5.055,4.702,4.722,
8.720,14.696,0.912,-9.256,1.973,1.014,0.960,3.018,0.000,1.836,1.491,0.000,3.814,2.430,2.098,4.145,2.819,0.000,3.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.379,-8.842,0.990,5.114,4.700,4.723,5.282,4.712,4.713,2.198,6.282,5.083,1.570,0.000,0.000,0.983,-8.585,0.991,5.114,4.704,4.720,
8.820,14.796,0.861,-9.147,2.083,1.010,1.090,2.560,0.000,1.746,1.593,0.000,4.057,2.350,0.000,3.028,2.661,0.000,2.931,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.286,-8.794,0.990,5.224,4.703,4.720,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.859,-8.473,0.991,5.224,4.706,4.717,
8.920,14.896,0.810,-9.062,2.174,1.016,0.999,2.782,0.000,1.686,1.699,0.000,3.862,2.320,0.000,3.201,2.562,0.000,2.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.282,1.199,4.712,0.000,0.000,0.206,-8.762,0.990,5.315,4.704,4.718,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.746,-8.390,0.991,5.315,4.706,4.717,
9.020,14.996,0.752,-8.980,2.258,1.016,0.977,0.000,0.000,1.639,1.816,0.000,3.546,1.911,0.000,2.926,2.487,0.000,2.755,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,0.124,-8.733,0.990,5.399,4.705,4.717,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.632,-8.317,0.991,5.399,4.707,4.716,
9.120,15.096,0.687,-8.905,2.343,1.013,1.012,0.000,1.710,1.598,1.978,0.000,3.315,1.942,4.400,2.702,2.435,0.000,2.685,2.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.086,6.281,1.199,4.712,0.000,0.000,0.040,-8.712,0.990,5.484,4.706,4.716,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.510,-8.254,0.991,5.484,4.708,4.715,
9.203,15.180,0.615,-8.835,2.432,1.013,1.036,0.000,1.456,1.560,2.226,0.000,3.144,2.392,4.439,2.519,2.408,0.000,2.615,2.624,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,-0.046,-8.700,0.990,5.573,4.706,4.715,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.382,-8.202,0.991,5.573,4.708,4.714,
9.320,15.296,0.554,-8.784,2.503,1.014,1.027,0.000,1.305,1.532,2.526,0.000,3.047,0.000,3.905,2.401,2.404,0.000,2.545,2.690,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.570,4.085,6.281,1.199,4.712,0.000,0.000,-0.115,-8.696,0.990,5.644,4.707,4.715,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,0.277,-8.169,0.991,5.644,4.708,4.714,
