game_time,true_time,x,y,az,vx,vaz,dis_to_obs_0,dis_to_obs_36,dis_to_obs_72,dis_to_obs_108,dis_to_obs_144,dis_to_obs_180,dis_to_obs_-144,dis_to_obs_-108,dis_to_obs_-72,dis_to_obs_-36,dis_to_min_obs,direction_to_min_obs,dis_to_human_0,dis_to_human_36,dis_to_human_72,dis_to_human_108,dis_to_human_144,dis_to_human_180,dis_to_human_-144,dis_to_human_-108,dis_to_human_-72,dis_to_human_-36,dis_to_min_human,direction_to_min_human,main_cam_yaw,main_cam_pitch,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,left_joint_gripper,left_is_grasping,left_end_x,left_end_y,left_end_z,left_end_ax,left_end_ay,left_end_az,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,right_joint_gripper,right_is_grasping,right_end_x,right_end_y,right_end_z,right_end_ax,right_end_ay,right_end_az,
8.780,17.680,0.976,-9.884,1.818,1.008,1.113,3.506,0.000,1.534,1.397,3.392,0.000,2.627,2.027,0.000,3.625,0.000,3.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.570,1.569,4.085,6.282,1.199,4.712,0.000,0.000,0.513,-9.393,0.990,4.961,4.694,4.729,5.282,4.712,4.712,2.198,6.283,5.083,1.570,0.000,0.000,1.150,-9.232,0.991,4.960,4.698,4.725,
8.880,17.780,0.950,-9.788,1.897,1.008,0.812,3.493,0.000,1.483,1.446,0.000,4.532,2.506,2.050,4.697,3.429,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.004,1.570,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.450,-9.335,0.990,5.039,4.697,4.726,5.282,4.712,4.712,2.198,6.282,5.083,1.570,0.000,0.000,1.071,-9.125,0.991,5.039,4.701,4.722,
8.972,17.871,0.924,-9.713,1.935,1.015,0.288,3.462,0.000,1.480,1.457,0.000,3.598,2.474,1.681,0.000,3.316,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.283,0.000,1.004,1.569,1.567,4.085,6.282,1.199,4.712,0.000,0.000,0.406,-9.280,0.990,5.079,4.699,4.724,5.281,4.711,4.710,2.198,6.282,5.083,1.570,0.000,0.000,1.019,-9.046,0.991,5.078,4.701,4.722,
9.080,17.980,0.881,-9.601,1.938,1.012,6.267,3.346,0.000,1.540,1.404,0.000,3.688,2.520,1.724,4.861,3.198,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.363,-9.169,0.990,5.080,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.975,-8.934,0.990,5.080,4.700,4.724,
9.180,18.080,0.845,-9.508,1.938,1.009,6.266,3.246,0.000,1.592,1.358,0.000,3.784,2.562,1.760,4.714,3.102,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.327,-9.077,0.990,5.080,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.939,-8.841,0.990,5.080,4.700,4.724,
9.280,18.180,0.809,-9.416,1.939,1.011,6.266,3.147,0.000,1.645,1.311,0.000,3.880,2.604,1.796,4.566,3.007,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.291,-8.984,0.990,5.081,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.903,-8.748,0.990,5.081,4.700,4.724,
9.368,18.268,0.774,-9.323,1.939,1.013,6.266,3.047,0.000,1.697,1.294,4.230,3.976,2.646,1.832,4.419,2.910,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.255,-8.892,0.990,5.081,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.867,-8.655,0.990,5.081,4.700,4.724,
9.480,18.380,0.738,-9.230,1.939,1.012,6.266,2.947,0.000,1.375,1.335,4.078,4.072,2.688,2.267,4.272,2.814,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.219,-8.799,0.990,5.081,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.830,-8.562,0.990,5.082,4.700,4.724,
9.580,18.480,0.709,-9.156,1.940,1.011,6.266,2.867,0.000,1.301,1.367,3.956,4.148,2.721,2.295,4.154,2.283,0.000,3.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,6.282,0.000,1.004,1.569,1.569,4.085,6.281,1.199,4.712,0.000,0.000,0.190,-8.725,0.990,5.082,4.699,4.724,5.281,4.711,4.711,2.198,6.282,5.083,1.570,0.000,0.000,0.802,-8.488,0.990,5.082,4.700,4.724,
9.680,18.580,0.666,-9.045,1.962,1.010,0.736,2.773,0.000,1.206,1.413,4.166,4.036,2.734,0.000,3.877,2.609,0.000,3.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.142,0.001,0.000,1.003,1.571,1.572,4.086,6.281,1.199,4.712,0.000,0.000,0.139,-8.624,0.990,5.100,4.699,4.725,5.281,4.712,4.714,2.199,6.281,5.083,1.571,0.000,0.000,0.746,-8.374,0.991,5.100,4.704,4.721,
